행정구역,2021년10월_계_총인구수,2021년10월_계_연령구간인구수,2021년10월_계_0세,2021년10월_계_1세,2021년10월_계_2세,2021년10월_계_3세,2021년10월_계_4세,2021년10월_계_5세,2021년10월_계_6세,2021년10월_계_7세,2021년10월_계_8세,2021년10월_계_9세,2021년10월_계_10세,2021년10월_계_11세,2021년10월_계_12세,2021년10월_계_13세,2021년10월_계_14세,2021년10월_계_15세,2021년10월_계_16세,2021년10월_계_17세,2021년10월_계_18세,2021년10월_계_19세,2021년10월_계_20세,2021년10월_계_21세,2021년10월_계_22세,2021년10월_계_23세,2021년10월_계_24세,2021년10월_계_25세,2021년10월_계_26세,2021년10월_계_27세,2021년10월_계_28세,2021년10월_계_29세,2021년10월_계_30세,2021년10월_계_31세,2021년10월_계_32세,2021년10월_계_33세,2021년10월_계_34세,2021년10월_계_35세,2021년10월_계_36세,2021년10월_계_37세,2021년10월_계_38세,2021년10월_계_39세,2021년10월_계_40세,2021년10월_계_41세,2021년10월_계_42세,2021년10월_계_43세,2021년10월_계_44세,2021년10월_계_45세,2021년10월_계_46세,2021년10월_계_47세,2021년10월_계_48세,2021년10월_계_49세,2021년10월_계_50세,2021년10월_계_51세,2021년10월_계_52세,2021년10월_계_53세,2021년10월_계_54세,2021년10월_계_55세,2021년10월_계_56세,2021년10월_계_57세,2021년10월_계_58세,2021년10월_계_59세,2021년10월_계_60세,2021년10월_계_61세,2021년10월_계_62세,2021년10월_계_63세,2021년10월_계_64세,2021년10월_계_65세,2021년10월_계_66세,2021년10월_계_67세,2021년10월_계_68세,2021년10월_계_69세,2021년10월_계_70세,2021년10월_계_71세,2021년10월_계_72세,2021년10월_계_73세,2021년10월_계_74세,2021년10월_계_75세,2021년10월_계_76세,2021년10월_계_77세,2021년10월_계_78세,2021년10월_계_79세,2021년10월_계_80세,2021년10월_계_81세,2021년10월_계_82세,2021년10월_계_83세,2021년10월_계_84세,2021년10월_계_85세,2021년10월_계_86세,2021년10월_계_87세,2021년10월_계_88세,2021년10월_계_89세,2021년10월_계_90세,2021년10월_계_91세,2021년10월_계_92세,2021년10월_계_93세,2021년10월_계_94세,2021년10월_계_95세,2021년10월_계_96세,2021년10월_계_97세,2021년10월_계_98세,2021년10월_계_99세,2021년10월_계_100세 이상,2021년10월_남_총인구수,2021년10월_남_연령구간인구수,2021년10월_남_0세,2021년10월_남_1세,2021년10월_남_2세,2021년10월_남_3세,2021년10월_남_4세,2021년10월_남_5세,2021년10월_남_6세,2021년10월_남_7세,2021년10월_남_8세,2021년10월_남_9세,2021년10월_남_10세,2021년10월_남_11세,2021년10월_남_12세,2021년10월_남_13세,2021년10월_남_14세,2021년10월_남_15세,2021년10월_남_16세,2021년10월_남_17세,2021년10월_남_18세,2021년10월_남_19세,2021년10월_남_20세,2021년10월_남_21세,2021년10월_남_22세,2021년10월_남_23세,2021년10월_남_24세,2021년10월_남_25세,2021년10월_남_26세,2021년10월_남_27세,2021년10월_남_28세,2021년10월_남_29세,2021년10월_남_30세,2021년10월_남_31세,2021년10월_남_32세,2021년10월_남_33세,2021년10월_남_34세,2021년10월_남_35세,2021년10월_남_36세,2021년10월_남_37세,2021년10월_남_38세,2021년10월_남_39세,2021년10월_남_40세,2021년10월_남_41세,2021년10월_남_42세,2021년10월_남_43세,2021년10월_남_44세,2021년10월_남_45세,2021년10월_남_46세,2021년10월_남_47세,2021년10월_남_48세,2021년10월_남_49세,2021년10월_남_50세,2021년10월_남_51세,2021년10월_남_52세,2021년10월_남_53세,2021년10월_남_54세,2021년10월_남_55세,2021년10월_남_56세,2021년10월_남_57세,2021년10월_남_58세,2021년10월_남_59세,2021년10월_남_60세,2021년10월_남_61세,2021년10월_남_62세,2021년10월_남_63세,2021년10월_남_64세,2021년10월_남_65세,2021년10월_남_66세,2021년10월_남_67세,2021년10월_남_68세,2021년10월_남_69세,2021년10월_남_70세,2021년10월_남_71세,2021년10월_남_72세,2021년10월_남_73세,2021년10월_남_74세,2021년10월_남_75세,2021년10월_남_76세,2021년10월_남_77세,2021년10월_남_78세,2021년10월_남_79세,2021년10월_남_80세,2021년10월_남_81세,2021년10월_남_82세,2021년10월_남_83세,2021년10월_남_84세,2021년10월_남_85세,2021년10월_남_86세,2021년10월_남_87세,2021년10월_남_88세,2021년10월_남_89세,2021년10월_남_90세,2021년10월_남_91세,2021년10월_남_92세,2021년10월_남_93세,2021년10월_남_94세,2021년10월_남_95세,2021년10월_남_96세,2021년10월_남_97세,2021년10월_남_98세,2021년10월_남_99세,2021년10월_남_100세 이상,2021년10월_여_총인구수,2021년10월_여_연령구간인구수,2021년10월_여_0세,2021년10월_여_1세,2021년10월_여_2세,2021년10월_여_3세,2021년10월_여_4세,2021년10월_여_5세,2021년10월_여_6세,2021년10월_여_7세,2021년10월_여_8세,2021년10월_여_9세,2021년10월_여_10세,2021년10월_여_11세,2021년10월_여_12세,2021년10월_여_13세,2021년10월_여_14세,2021년10월_여_15세,2021년10월_여_16세,2021년10월_여_17세,2021년10월_여_18세,2021년10월_여_19세,2021년10월_여_20세,2021년10월_여_21세,2021년10월_여_22세,2021년10월_여_23세,2021년10월_여_24세,2021년10월_여_25세,2021년10월_여_26세,2021년10월_여_27세,2021년10월_여_28세,2021년10월_여_29세,2021년10월_여_30세,2021년10월_여_31세,2021년10월_여_32세,2021년10월_여_33세,2021년10월_여_34세,2021년10월_여_35세,2021년10월_여_36세,2021년10월_여_37세,2021년10월_여_38세,2021년10월_여_39세,2021년10월_여_40세,2021년10월_여_41세,2021년10월_여_42세,2021년10월_여_43세,2021년10월_여_44세,2021년10월_여_45세,2021년10월_여_46세,2021년10월_여_47세,2021년10월_여_48세,2021년10월_여_49세,2021년10월_여_50세,2021년10월_여_51세,2021년10월_여_52세,2021년10월_여_53세,2021년10월_여_54세,2021년10월_여_55세,2021년10월_여_56세,2021년10월_여_57세,2021년10월_여_58세,2021년10월_여_59세,2021년10월_여_60세,2021년10월_여_61세,2021년10월_여_62세,2021년10월_여_63세,2021년10월_여_64세,2021년10월_여_65세,2021년10월_여_66세,2021년10월_여_67세,2021년10월_여_68세,2021년10월_여_69세,2021년10월_여_70세,2021년10월_여_71세,2021년10월_여_72세,2021년10월_여_73세,2021년10월_여_74세,2021년10월_여_75세,2021년10월_여_76세,2021년10월_여_77세,2021년10월_여_78세,2021년10월_여_79세,2021년10월_여_80세,2021년10월_여_81세,2021년10월_여_82세,2021년10월_여_83세,2021년10월_여_84세,2021년10월_여_85세,2021년10월_여_86세,2021년10월_여_87세,2021년10월_여_88세,2021년10월_여_89세,2021년10월_여_90세,2021년10월_여_91세,2021년10월_여_92세,2021년10월_여_93세,2021년10월_여_94세,2021년10월_여_95세,2021년10월_여_96세,2021년10월_여_97세,2021년10월_여_98세,2021년10월_여_99세,2021년10월_여_100세 이상,,,,,,,
경기도 의정부시 (4115000000),463665,463665,2312,2478,2783,2997,3247,3627,3925,3813,3844,4221,4076,4046,3810,4012,4341,3847,3914,4321,4456,4879,5512,6191,6070,6259,6790,6752,6791,6734,6724,6716,6306,5777,5534,5409,5355,5762,5688,6098,6904,7251,7474,7535,7131,6508,6716,6464,7088,8129,8113,8545,8952,8645,8779,8612,7730,7741,7890,7277,7766,7658,8039,8197,6920,6658,6505,5636,5744,4870,4129,4454,2998,3510,3566,3492,3639,2816,2740,2727,2658,3114,2414,2174,2048,1820,1557,1385,1178,982,745,598,444,439,310,263,173,95,83,64,53,32,71,228574,228574,1233,1269,1459,1578,1718,1819,2049,1949,1971,2132,2114,2109,1916,2100,2316,1944,1995,2201,2307,2533,2816,3141,3095,3118,3340,3422,3395,3467,3466,3477,3225,2936,2853,2757,2728,2965,2893,3118,3521,3743,3851,3900,3651,3321,3359,3253,3520,4058,3941,4219,4442,4264,4323,4138,3761,3790,3909,3621,3861,3769,3935,4077,3399,3313,3174,2706,2647,2320,1999,2052,1381,1582,1638,1546,1617,1221,1199,1177,1116,1300,993,872,809,708,588,466,399,301,256,173,119,91,83,59,38,21,16,13,9,9,13,235091,235091,1079,1209,1324,1419,1529,1808,1876,1864,1873,2089,1962,1937,1894,1912,2025,1903,1919,2120,2149,2346,2696,3050,2975,3141,3450,3330,3396,3267,3258,3239,3081,2841,2681,2652,2627,2797,2795,2980,3383,3508,3623,3635,3480,3187,3357,3211,3568,4071,4172,4326,4510,4381,4456,4474,3969,3951,3981,3656,3905,3889,4104,4120,3521,3345,3331,2930,3097,2550,2130,2402,1617,1928,1928,1946,2022,1595,1541,1550,1542,1814,1421,1302,1239,1112,969,919,779,681,489,425,325,348,227,204,135,74,67,51,44,23,58,,,,,,,
경기도 안양시 (4117000000),547258,547258,3017,3004,3157,3496,3559,4203,4322,4252,4257,4730,4861,4728,4664,5060,5206,5038,4874,5275,5674,5614,6490,7097,6941,7188,7680,7698,7857,8146,8159,8278,8055,7663,7686,7518,7455,7389,7209,7429,8081,8609,8539,8566,8146,7552,7980,7928,8475,9377,9442,9712,10461,10092,10242,10208,9320,9061,9346,8756,9142,9435,10224,10267,8868,8165,7701,6870,7087,5714,4933,5195,3505,3995,3723,3655,3589,2743,2643,2621,2525,2905,2223,1954,1968,1775,1544,1332,1251,987,850,699,551,483,334,283,209,127,108,61,63,40,89,270572,270572,1527,1506,1573,1801,1820,2144,2161,2156,2184,2469,2467,2492,2434,2635,2697,2636,2494,2745,2926,2900,3259,3668,3659,3663,3939,4061,4097,4274,4262,4234,4192,3990,3916,3893,3811,3835,3723,3772,4103,4437,4404,4217,4066,3702,3889,3881,4110,4615,4503,4775,5098,4873,4967,4930,4410,4522,4500,4360,4474,4546,4940,4957,4345,4066,3767,3367,3497,2876,2503,2525,1697,1985,1822,1709,1638,1262,1156,1118,1103,1214,906,761,767,628,525,424,368,294,237,178,131,128,76,55,40,34,17,16,14,6,23,276686,276686,1490,1498,1584,1695,1739,2059,2161,2096,2073,2261,2394,2236,2230,2425,2509,2402,2380,2530,2748,2714,3231,3429,3282,3525,3741,3637,3760,3872,3897,4044,3863,3673,3770,3625,3644,3554,3486,3657,3978,4172,4135,4349,4080,3850,4091,4047,4365,4762,4939,4937,5363,5219,5275,5278,4910,4539,4846,4396,4668,4889,5284,5310,4523,4099,3934,3503,3590,2838,2430,2670,1808,2010,1901,1946,1951,1481,1487,1503,1422,1691,1317,1193,1201,1147,1019,908,883,693,613,521,420,355,258,228,169,93,91,45,49,34,66,,,,,,,
경기도 안양시 만안구 (4117100000),239203,239203,1285,1326,1314,1436,1463,1705,1641,1562,1567,1689,1684,1610,1586,1715,1794,1772,1731,1935,2186,2241,2627,3074,3037,3153,3459,3488,3644,3828,3812,3777,3594,3351,3370,3319,3168,3161,3101,3128,3502,3642,3625,3526,3321,2992,3179,3074,3273,3664,3770,3933,4253,4213,4377,4487,4237,4199,4346,4041,4288,4448,4869,4935,4259,3943,3766,3327,3411,2911,2473,2652,1779,2050,1941,1890,1843,1452,1386,1358,1347,1550,1143,974,1006,906,791,636,602,479,408,331,252,199,157,117,92,61,52,34,37,18,43,119745,119745,640,646,664,736,738,857,826,771,811,897,853,833,845,906,953,924,896,1017,1149,1139,1298,1528,1584,1663,1801,1897,1920,2024,2027,1945,1935,1822,1726,1759,1631,1676,1639,1645,1849,1959,1972,1813,1732,1567,1631,1599,1686,1873,1855,1958,2108,2014,2112,2179,1990,2122,2091,2068,2139,2204,2412,2393,2079,1980,1832,1628,1658,1467,1252,1281,855,1043,969,922,836,668,592,601,597,677,483,386,404,322,276,212,179,155,121,88,65,44,34,22,12,17,12,9,7,2,11,119458,119458,645,680,650,700,725,848,815,791,756,792,831,777,741,809,841,848,835,918,1037,1102,1329,1546,1453,1490,1658,1591,1724,1804,1785,1832,1659,1529,1644,1560,1537,1485,1462,1483,1653,1683,1653,1713,1589,1425,1548,1475,1587,1791,1915,1975,2145,2199,2265,2308,2247,2077,2255,1973,2149,2244,2457,2542,2180,1963,1934,1699,1753,1444,1221,1371,924,1007,972,968,1007,784,794,757,750,873,660,588,602,584,515,424,423,324,287,243,187,155,123,95,80,44,40,25,30,16,32,,,,,,,
경기도 안양시 동안구 (4117300000),308055,308055,1732,1678,1843,2060,2096,2498,2681,2690,2690,3041,3177,3118,3078,3345,3412,3266,3143,3340,3488,3373,3863,4023,3904,4035,4221,4210,4213,4318,4347,4501,4461,4312,4316,4199,4287,4228,4108,4301,4579,4967,4914,5040,4825,4560,4801,4854,5202,5713,5672,5779,6208,5879,5865,5721,5083,4862,5000,4715,4854,4987,5355,5332,4609,4222,3935,3543,3676,2803,2460,2543,1726,1945,1782,1765,1746,1291,1257,1263,1178,1355,1080,980,962,869,753,696,649,508,442,368,299,284,177,166,117,66,56,27,26,22,46,150827,150827,887,860,909,1065,1082,1287,1335,1385,1373,1572,1614,1659,1589,1729,1744,1712,1598,1728,1777,1761,1961,2140,2075,2000,2138,2164,2177,2250,2235,2289,2257,2168,2190,2134,2180,2159,2084,2127,2254,2478,2432,2404,2334,2135,2258,2282,2424,2742,2648,2817,2990,2859,2855,2751,2420,2400,2409,2292,2335,2342,2528,2564,2266,2086,1935,1739,1839,1409,1251,1244,842,942,853,787,802,594,564,517,506,537,423,375,363,306,249,212,189,139,116,90,66,84,42,33,28,17,5,7,7,4,12,157228,157228,845,818,934,995,1014,1211,1346,1305,1317,1469,1563,1459,1489,1616,1668,1554,1545,1612,1711,1612,1902,1883,1829,2035,2083,2046,2036,2068,2112,2212,2204,2144,2126,2065,2107,2069,2024,2174,2325,2489,2482,2636,2491,2425,2543,2572,2778,2971,3024,2962,3218,3020,3010,2970,2663,2462,2591,2423,2519,2645,2827,2768,2343,2136,2000,1804,1837,1394,1209,1299,884,1003,929,978,944,697,693,746,672,818,657,605,599,563,504,484,460,369,326,278,233,200,135,133,89,49,51,20,19,18,34,,,,,,,
경기도 부천시 (4119000000),808047,808047,3840,4219,4474,4828,5210,5848,6051,6239,6128,6736,6588,6509,6250,6651,7123,6526,6412,7104,7453,7664,8876,9809,10019,10800,11519,12095,12204,12501,12578,12866,11915,11051,10955,10869,10456,10489,10869,10972,12081,13112,12993,13254,12400,11180,11602,11358,11992,13440,13659,13792,15155,14525,14915,15079,13766,13727,14823,13813,14331,14972,16254,16114,14173,12818,12410,10949,10923,8756,7525,7948,5444,5934,5711,5542,5390,3935,3703,3764,3680,4289,3194,2916,2825,2416,2107,1912,1827,1390,1202,972,744,633,548,422,283,176,144,87,105,64,153,400375,400375,1967,2205,2310,2488,2702,3004,3129,3149,3136,3466,3334,3312,3217,3413,3664,3345,3256,3574,3891,3978,4590,5059,5192,5448,5783,6277,6396,6528,6533,6641,6057,5656,5637,5628,5350,5375,5625,5637,6304,6768,6678,6652,6302,5693,5828,5720,5913,6792,6869,6912,7476,7022,7233,7207,6539,6642,7092,6658,7072,7391,7942,7857,6985,6352,6132,5362,5353,4244,3691,3893,2730,2870,2764,2675,2489,1877,1684,1615,1551,1788,1241,1125,1019,834,697,604,531,423,323,233,193,157,127,90,65,32,23,17,19,17,36,407672,407672,1873,2014,2164,2340,2508,2844,2922,3090,2992,3270,3254,3197,3033,3238,3459,3181,3156,3530,3562,3686,4286,4750,4827,5352,5736,5818,5808,5973,6045,6225,5858,5395,5318,5241,5106,5114,5244,5335,5777,6344,6315,6602,6098,5487,5774,5638,6079,6648,6790,6880,7679,7503,7682,7872,7227,7085,7731,7155,7259,7581,8312,8257,7188,6466,6278,5587,5570,4512,3834,4055,2714,3064,2947,2867,2901,2058,2019,2149,2129,2501,1953,1791,1806,1582,1410,1308,1296,967,879,739,551,476,421,332,218,144,121,70,86,47,117,,,,,,,
경기도 광명시 (4121000000),294458,294458,1609,1626,1710,1987,2034,2445,2523,2612,2643,2921,2891,2839,2770,3005,3118,2914,2851,3147,3127,3084,3490,3739,3541,3600,3735,3693,3696,3837,3711,4031,3994,3805,3757,3703,3735,3908,3832,4077,4476,5075,5001,5115,4848,4491,4714,4654,4987,5372,5552,5349,5613,5193,5434,5278,4749,4569,4851,4347,4530,4549,5173,4927,4570,4229,4125,3785,3777,3199,2679,2896,1958,2164,2090,2000,2089,1439,1444,1381,1435,1670,1255,1087,1076,890,766,722,654,531,427,372,252,250,181,145,94,74,51,34,26,15,39,145171,145171,802,822,884,1024,1039,1235,1298,1331,1345,1478,1486,1492,1414,1496,1550,1497,1486,1618,1662,1646,1786,1983,1815,1863,1884,1938,1955,2036,1920,2119,2110,1936,1947,1899,1879,1990,1924,2071,2280,2515,2421,2525,2405,2228,2264,2309,2420,2699,2784,2625,2787,2555,2735,2591,2300,2351,2428,2208,2244,2259,2507,2316,2125,2047,1937,1802,1838,1527,1243,1388,916,1022,983,960,974,633,641,597,603,657,484,430,404,303,254,221,185,140,100,95,52,45,45,29,22,16,11,6,8,3,9,149287,149287,807,804,826,963,995,1210,1225,1281,1298,1443,1405,1347,1356,1509,1568,1417,1365,1529,1465,1438,1704,1756,1726,1737,1851,1755,1741,1801,1791,1912,1884,1869,1810,1804,1856,1918,1908,2006,2196,2560,2580,2590,2443,2263,2450,2345,2567,2673,2768,2724,2826,2638,2699,2687,2449,2218,2423,2139,2286,2290,2666,2611,2445,2182,2188,1983,1939,1672,1436,1508,1042,1142,1107,1040,1115,806,803,784,832,1013,771,657,672,587,512,501,469,391,327,277,200,205,136,116,72,58,40,28,18,12,30,,,,,,,
경기도 평택시 (4122000000),559363,559363,3743,4083,4316,4570,4930,5456,5715,5518,5497,5954,5812,5646,5466,5568,5604,5130,4862,5113,5310,5526,6222,6975,6638,7113,7503,7923,8428,8532,8969,9064,8771,8331,7893,7767,8064,8030,8320,8396,9408,10247,10237,10458,9725,9067,8988,8797,9343,10017,9983,9965,10459,9983,10259,9808,8800,8480,8739,7871,8086,7901,8833,8177,7187,6479,5832,5562,5496,4471,3932,4346,2959,3291,3224,3215,3285,2436,2449,2473,2490,2907,2323,2025,1999,1806,1641,1418,1216,1017,783,630,453,394,334,255,178,124,97,70,67,36,74,291122,291122,1875,1997,2188,2360,2478,2771,2995,2809,2752,3085,2945,2950,2802,2838,2878,2604,2503,2632,2731,2938,3277,3758,3553,3827,4083,4328,4740,4903,5157,5213,4970,4732,4487,4309,4408,4417,4488,4520,5010,5543,5608,5648,5223,4903,4859,4673,4896,5389,5155,5414,5580,5280,5323,5139,4538,4561,4553,4167,4356,4186,4635,4158,3686,3281,2986,2812,2687,2144,1874,2102,1353,1527,1471,1441,1520,1109,1040,1007,1010,1192,941,829,721,631,581,494,386,322,227,162,106,94,76,59,46,27,14,20,21,7,18,268241,268241,1868,2086,2128,2210,2452,2685,2720,2709,2745,2869,2867,2696,2664,2730,2726,2526,2359,2481,2579,2588,2945,3217,3085,3286,3420,3595,3688,3629,3812,3851,3801,3599,3406,3458,3656,3613,3832,3876,4398,4704,4629,4810,4502,4164,4129,4124,4447,4628,4828,4551,4879,4703,4936,4669,4262,3919,4186,3704,3730,3715,4198,4019,3501,3198,2846,2750,2809,2327,2058,2244,1606,1764,1753,1774,1765,1327,1409,1466,1480,1715,1382,1196,1278,1175,1060,924,830,695,556,468,347,300,258,196,132,97,83,50,46,29,56,,,,,,,
경기도 동두천시 (4125000000),93508,93508,345,413,466,449,559,656,700,734,750,825,849,825,857,817,875,782,769,847,920,868,1004,1156,1079,1103,1080,1096,1206,1128,1123,1061,1076,976,897,879,889,920,955,1012,1123,1293,1281,1309,1265,1169,1280,1293,1412,1533,1574,1713,1731,1677,1758,1743,1525,1614,1618,1515,1593,1611,1788,1759,1607,1546,1444,1288,1358,1151,1017,1061,806,841,920,947,1048,768,744,765,784,969,815,695,647,564,509,422,348,271,237,189,117,117,98,93,55,43,23,19,23,12,24,46659,46659,154,203,250,232,279,333,370,401,382,417,433,423,413,389,441,399,389,444,460,440,529,611,596,610,541,582,650,655,631,583,589,538,469,479,444,486,503,479,591,654,641,663,655,599,673,678,736,801,797,889,887,876,925,944,825,905,850,772,843,820,894,896,817,773,718,623,669,561,454,491,363,384,396,396,468,330,324,280,327,367,325,263,241,220,178,150,124,85,63,66,34,31,33,21,14,7,4,5,5,4,4,46849,46849,191,210,216,217,280,323,330,333,368,408,416,402,444,428,434,383,380,403,460,428,475,545,483,493,539,514,556,473,492,478,487,438,428,400,445,434,452,533,532,639,640,646,610,570,607,615,676,732,777,824,844,801,833,799,700,709,768,743,750,791,894,863,790,773,726,665,689,590,563,570,443,457,524,551,580,438,420,485,457,602,490,432,406,344,331,272,224,186,174,123,83,86,65,72,41,36,19,14,18,8,20,,,,,,,
경기도 안산시 (4127000000),654117,654117,3153,3278,3516,3747,3982,4557,4902,4887,4845,5365,5586,5428,5428,5862,6303,5608,5968,6704,6954,7885,9224,10078,10131,10238,10813,11160,11344,11188,10866,11109,9818,9080,8641,8054,7741,7793,7686,8055,8834,9622,9471,10150,9555,9088,9517,9614,10687,11853,12124,12411,13456,13415,13983,13912,12787,12537,12803,11490,11747,11814,12466,11478,9868,8683,7981,6850,6654,5325,4405,4774,3328,3611,3503,3341,3354,2594,2497,2515,2611,2817,2289,2077,2000,1793,1646,1450,1358,1038,874,731,511,460,331,286,218,168,113,72,66,38,96,335508,335508,1688,1623,1769,1914,2046,2347,2481,2483,2509,2743,2844,2824,2807,3058,3205,2916,3052,3423,3584,4050,4696,5267,5309,5325,5787,5925,6073,6104,5876,6074,5430,5008,4793,4458,4271,4264,4141,4326,4744,5205,5087,5264,4988,4723,4918,4910,5474,6067,6036,6163,6672,6665,6887,6911,6449,6447,6571,6020,6321,6247,6539,6092,5326,4650,4190,3583,3407,2687,2236,2345,1657,1725,1716,1543,1537,1154,1066,1081,1046,1131,849,784,725,604,513,448,389,293,231,203,122,105,71,54,25,38,19,17,15,8,22,318609,318609,1465,1655,1747,1833,1936,2210,2421,2404,2336,2622,2742,2604,2621,2804,3098,2692,2916,3281,3370,3835,4528,4811,4822,4913,5026,5235,5271,5084,4990,5035,4388,4072,3848,3596,3470,3529,3545,3729,4090,4417,4384,4886,4567,4365,4599,4704,5213,5786,6088,6248,6784,6750,7096,7001,6338,6090,6232,5470,5426,5567,5927,5386,4542,4033,3791,3267,3247,2638,2169,2429,1671,1886,1787,1798,1817,1440,1431,1434,1565,1686,1440,1293,1275,1189,1133,1002,969,745,643,528,389,355,260,232,193,130,94,55,51,30,74,,,,,,,
경기도 안산시 상록구 (4127100000),351747,351747,1540,1625,1721,1922,2025,2483,2665,2680,2618,2918,3020,2957,2929,3058,3378,2999,3251,3587,3764,4440,5165,5577,5620,5735,6029,6126,6249,6050,5818,5907,5170,4642,4331,4077,3924,4017,3937,4187,4662,5042,4882,5321,5111,4844,5131,5178,5690,6296,6579,6819,7273,7384,7673,7471,6983,6863,6875,6142,6277,6261,6658,6132,5266,4549,4262,3642,3525,2890,2322,2522,1777,1928,1876,1877,1889,1501,1470,1399,1549,1668,1329,1202,1148,1045,949,837,750,609,487,417,292,265,197,170,122,98,66,47,40,24,53,179580,179580,817,779,850,992,1063,1268,1363,1373,1322,1522,1514,1511,1530,1581,1694,1549,1641,1838,1949,2292,2558,2888,2921,3033,3260,3288,3338,3307,3158,3287,2854,2577,2402,2260,2149,2147,2145,2219,2463,2707,2583,2733,2620,2571,2658,2656,2850,3173,3281,3414,3569,3688,3761,3683,3527,3497,3523,3206,3371,3346,3494,3237,2810,2424,2225,1906,1803,1444,1166,1225,848,938,904,852,846,647,628,585,600,654,497,437,410,360,297,263,217,177,134,125,78,71,47,34,10,24,12,8,8,4,12,172167,172167,723,846,871,930,962,1215,1302,1307,1296,1396,1506,1446,1399,1477,1684,1450,1610,1749,1815,2148,2607,2689,2699,2702,2769,2838,2911,2743,2660,2620,2316,2065,1929,1817,1775,1870,1792,1968,2199,2335,2299,2588,2491,2273,2473,2522,2840,3123,3298,3405,3704,3696,3912,3788,3456,3366,3352,2936,2906,2915,3164,2895,2456,2125,2037,1736,1722,1446,1156,1297,929,990,972,1025,1043,854,842,814,949,1014,832,765,738,685,652,574,533,432,353,292,214,194,150,136,112,74,54,39,32,20,41,,,,,,,
경기도 안산시 단원구 (4127300000),302370,302370,1613,1653,1795,1825,1957,2074,2237,2207,2227,2447,2566,2471,2499,2804,2925,2609,2717,3117,3190,3445,4059,4501,4511,4503,4784,5034,5095,5138,5048,5202,4648,4438,4310,3977,3817,3776,3749,3868,4172,4580,4589,4829,4444,4244,4386,4436,4997,5557,5545,5592,6183,6031,6310,6441,5804,5674,5928,5348,5470,5553,5808,5346,4602,4134,3719,3208,3129,2435,2083,2252,1551,1683,1627,1464,1465,1093,1027,1116,1062,1149,960,875,852,748,697,613,608,429,387,314,219,195,134,116,96,70,47,25,26,14,43,155928,155928,871,844,919,922,983,1079,1118,1110,1187,1221,1330,1313,1277,1477,1511,1367,1411,1585,1635,1758,2138,2379,2388,2292,2527,2637,2735,2797,2718,2787,2576,2431,2391,2198,2122,2117,1996,2107,2281,2498,2504,2531,2368,2152,2260,2254,2624,2894,2755,2749,3103,2977,3126,3228,2922,2950,3048,2814,2950,2901,3045,2855,2516,2226,1965,1677,1604,1243,1070,1120,809,787,812,691,691,507,438,496,446,477,352,347,315,244,216,185,172,116,97,78,44,34,24,20,15,14,7,9,7,4,10,146442,146442,742,809,876,903,974,995,1119,1097,1040,1226,1236,1158,1222,1327,1414,1242,1306,1532,1555,1687,1921,2122,2123,2211,2257,2397,2360,2341,2330,2415,2072,2007,1919,1779,1695,1659,1753,1761,1891,2082,2085,2298,2076,2092,2126,2182,2373,2663,2790,2843,3080,3054,3184,3213,2882,2724,2880,2534,2520,2652,2763,2491,2086,1908,1754,1531,1525,1192,1013,1132,742,896,815,773,774,586,589,620,616,672,608,528,537,504,481,428,436,313,290,236,175,161,110,96,81,56,40,16,19,10,33,,,,,,,
경기도 고양시 (4128000000),1080240,1080240,5368,5728,6404,7028,7632,8750,9255,9062,9258,10230,10121,9869,9583,10362,10282,9726,9627,10879,10989,11181,12681,14176,13798,14393,14921,15532,15492,15447,15366,15679,14926,13973,13453,13345,13097,13269,13777,14167,15897,16761,17255,17344,17020,15619,16530,16232,17462,19495,20060,21184,22241,21557,21391,20862,18992,18366,18906,17838,18608,17961,18736,18053,15844,14344,13814,12191,12131,9651,8363,8731,5704,6651,6816,6893,7019,5665,5393,5448,5624,6343,5284,4856,4681,4210,3771,3410,3012,2378,1904,1610,1204,1073,858,637,464,303,229,142,124,91,178,528683,528683,2711,2866,3224,3581,3943,4432,4776,4664,4676,5262,5155,5088,4979,5225,5311,4917,4837,5527,5731,5724,6585,7400,7180,7281,7524,8094,7911,7950,7804,7794,7469,6887,6725,6675,6510,6569,6890,7060,7903,8366,8364,8438,8223,7682,7926,7988,8463,9427,9582,10235,10833,10483,10500,10040,9090,9123,9203,8786,9398,9005,9553,9022,8032,7299,7043,6169,5901,4842,4062,4201,2666,2941,3059,3051,3018,2417,2249,2177,2280,2600,2098,1883,1751,1583,1336,1215,1030,746,596,509,366,270,227,142,104,56,43,35,41,30,45,551557,551557,2657,2862,3180,3447,3689,4318,4479,4398,4582,4968,4966,4781,4604,5137,4971,4809,4790,5352,5258,5457,6096,6776,6618,7112,7397,7438,7581,7497,7562,7885,7457,7086,6728,6670,6587,6700,6887,7107,7994,8395,8891,8906,8797,7937,8604,8244,8999,10068,10478,10949,11408,11074,10891,10822,9902,9243,9703,9052,9210,8956,9183,9031,7812,7045,6771,6022,6230,4809,4301,4530,3038,3710,3757,3842,4001,3248,3144,3271,3344,3743,3186,2973,2930,2627,2435,2195,1982,1632,1308,1101,838,803,631,495,360,247,186,107,83,61,133,,,,,,,
